Keyword,Tweet Text
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,@kverberkmoes Mooie redding door de deelauto. Goede reis!
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"In Veldhoven mag je volgend jaar niet meer overal je deelfiets of -scooter achterlaten 
 
 https://t.co/Cqya2rG08G"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,@Irma_Koopman @roosvonk En deelauto’s in dorpen en electrische deelfietsen. Een beetje creativiteit in plaats van het eeuwige gedram om geld (waarmee niet gezegd is dat er voor de minima niet meer geld moet komen. Maar wees gewoon eens inventief)
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,In Veldhoven mag je volgend jaar niet meer overal je deelfiets of -scooter achterlaten https://t.co/wFs7C91pxf https://t.co/TOgkXBbrKI
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,In Veldhoven mag je volgend jaar niet meer overal je deelfiets of -scooter achterlaten https://t.co/Ja5B4qqAYa https://t.co/7vXsUMfy2b
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"Dat je om 08:10 met 2 kids in de IC direct naar Schiphol staat om de vlucht van 11:10 te halen en dat vervolgens de trein het niet deed. Sixt deelauto gepakt. Rennen op het vliegveld. Koffer kon niet meer mee, maar we hebben de vlucht gehaald. Huilende oudste dochter."
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"'s Ochtends met de #deelauto afgereisd naar 'onbekend terrein', maar op de terugweg bleek Google Maps een halve #snipperdag te hebben genomen. Ik kon kiezen voor de optie borden volgen en de optie paniek. Natuurlijk koos ik voor het laatste."
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"Tips of vragen over #SchoonHeelVeilig in #Overschie? Of gewoon een praatje?
Kom naar ons #Handhaving-inloopspreekuur:
📅woensdag 29 november
⏲️10.00-12.00uur
📍Wijkhub, Abtsweg 26
Tot dan!

#SamenZienWeMeer #BuitenIsVanOnsAllemaal #Samen #Handhaving010 https://t.co/8rJ6MWjbPY"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,"De kerstboom is vanochtend gearriveerd in het winkelcentrum! 🎄🌟

Gastvrouw Thea zag vanuit de wijkhub hoe de boom geïnstalleerd werd en deelde de foto’s met ons via de Like Je Wijk app!

Bekijk de foto's via 👉  https://t.co/ZcAq052Epu

#Beverwaard https://t.co/mWyXKCv8om"
buurthub OR deelvervoer OR deelauto OR deelfiets OR deelscooter OR mobiliteitshub OR wijkhub OR stadshub OR stadsrandhub OR transferhub since:2018-01-01 until:2023-11-30,@atlantisblauw @KelRebel @ridefelyx Ooit in Apeldoorn geprobeerd iemand uit te leggen toen ie zijn GO Sharing deelscooter midden op de stoep gooide dat hij de zooi blokkeerde. Keek me aan alsof ik net vertelde dat ik als man zwanger was van hem en we een nieuwe religie konden starten. Geen enkel benul die gast.
